OrderID,CustomerName,PhoneNumber,Location,Country,StoreCode,Product,Quantity,Price,Date,CreditCardNumber,ExpiryDate
ORD9252,Customer429,+1-336-3531,Phoenix,USA,STR487,refined oil,1.0,110.0,2021-01-13,7551-4936-3789-2869,5/22
ORD536,Customer554,+1-327-6726,Chicago,USA,STR898,nutrella,2.0,40.0,2020-09-15,2132-6804-8346-3672,2/25
ORD5663,Customer604,+1-116-3069,Phoenix,USA,STR811,refined oil,4.0,110.0,2020-08-20,8057-8914-2020-2615,2/28
ORD7705,Customer895,+1-539-6475,New York,USA,STR348,refined oil,3.0,110.0,2023-06-14,3592-5385-5802-4750,4/23
ORD1183,Customer837,+1-476-1002,Chicago,USA,STR385,refined oil,5.0,110.0,2021-01-16,4018-6128-6287-5170,11/24
ORD2076,Customer715,+1-445-5866,New York,USA,STR382,quaker oats,6.0,212.0,2020-07-31,9354-2649-6986-3411,7/25
ORD8885,Customer329,+1-957-8157,Los Angeles,USA,STR826,sugar,1.0,50.0,2020-10-16,9693-5558-5753-6470,10/24
ORD7244,Customer918,+1-716-7465,Chicago,USA,STR173,sugar,8.0,50.0,2020-07-04,5066-3490-3246-7104,11/24
ORD4281,Customer159,+1-973-9970,Phoenix,USA,STR514,clinic plus,2.0,1.5,2020-12-11,8157-1503-6651-3479,10/27
ORD721,Customer380,+1-665-7886,Chicago,USA,STR586,refined oil,9.0,110.0,2020-06-12,4131-3128-1436-3805,11/25
ORD1541,Customer124,+1-213-5551,Los Angeles,USA,STR540,besan,9.0,52.0,2021-07-06,2790-8063-8319-1272,8/27
ORD4149,Customer711,+1-182-1071,New York,USA,STR699,clinic plus,9.0,1.5,2021-09-03,9885-8862-3900-5144,9/23
ORD1326,Customer820,+1-399-3055,Phoenix,USA,STR703,clinic plus,8.0,1.5,2021-08-17,7099-3484-3033-2738,1/25
ORD9831,Customer798,+1-765-6669,New York,USA,STR891,besan,10.0,52.0,2022-11-01,6936-1497-5254-8238,6/26
ORD5666,Customer292,+1-464-3686,Phoenix,USA,STR959,clinic plus,3.0,1.5,2020-08-30,6922-4516-9599-5491,2/23
ORD9088,Customer389,+1-293-7891,New York,USA,STR178,dantkanti,6.0,100.0,2022-09-05,5461-6396-8943-2319,1/22
