OrderID,CustomerName,PhoneNumber,Location,Country,StoreCode,Product,Quantity,Price,Date,CreditCardNumber,ExpiryDate
ORD187,Alex Lee,+1-324-1838,Phoenix,USA,STR174,Headphones,4.5,263.0,2022-09-22,5676-5605-7454-1466,04/27
ORD1258,Michael Smith,+1-281-1617,Houston,USA,STR418,Smartwatch,7.92,767.51,2022-06-17,7726-7350-8768-9179,06/22
ORD7053,Emily Lee,+1-281-9941,Phoenix,USA,STR635,Tablet,7.35,374.47,2022-04-26,1588-2763-4392-3562,09/22
ORD5272,Emily Doe,+1-588-1496,Phoenix,USA,STR117,Smartwatch,6.06,469.72,2022-08-12,8892-9237-9030-3854,12/28
ORD3758,Emily Doe,+1-765-5998,Los Angeles,USA,STR608,Laptop,5.43,120.25,2022-09-02,2273-1943-6870-7789,11/26
ORD2004,John Johnson,+1-404-1899,Los Angeles,USA,STR115,Tablet,1.67,579.62,2022-01-30,2659-3232-3407-7781,06/23
ORD4131,John Doe,+1-570-2616,Los Angeles,USA,STR832,Tablet,9.12,105.94,2022-03-26,2674-4373-8672-4787,01/26
ORD5447,Jane Johnson,+1-680-4450,New York,USA,STR934,Laptop,1.89,156.6,2022-01-16,9209-3234-3090-1131,05/25
ORD7117,Michael Smith,+1-474-5925,Los Angeles,USA,STR905,Laptop,1.48,16.42,2022-01-16,4278-7099-9265-6996,09/22
ORD9154,John Brown,+1-507-5428,New York,USA,STR118,Smartphone,2.4,382.69,2022-12-05,8094-6297-2743-2251,10/28
ORD850,Jane Doe,+1-446-9587,New York,USA,STR158,Headphones,3.41,758.12,2022-03-20,3870-2492-9247-3831,12/22
ORD125,John Doe,+1-641-3948,Phoenix,USA,STR965,Smartphone,3.99,926.04,2022-12-14,9969-2890-1362-6754,07/25
ORD5156,Emily Smith,+1-947-6126,Houston,USA,STR403,Smartphone,3.01,791.73,2022-11-21,8858-4045-4684-2749,12/25
ORD9234,Michael Lee,+1-394-6025,Phoenix,USA,STR297,Tablet,6.27,724.11,2022-03-15,3632-6054-2824-4551,06/28
ORD3883,Michael Johnson,+1-167-4359,Chicago,USA,STR574,Laptop,7.89,270.89,2022-06-25,6307-7370-2280-1196,04/26
ORD7830,Jane Brown,+1-882-1617,Chicago,USA,STR263,Smartphone,6.23,759.33,2022-06-11,7280-2412-1333-9375,12/22
