OrderID,CustomerName,PhoneNumber,Location,Country,StoreCode,Product,Quantity,Price,Date,CreditCardNumber,ExpiryDate
ORD7684,Emily Doe,+1-384-6620,New York,USA,STR833,Laptop,3.95,729.19,2022-06-14,9800-2252-6267-9986,02/24
ORD3563,Alex Brown,+1-320-3087,Los Angeles,USA,STR682,Smartphone,5.25,462.28,2022-10-31,3927-7477-5284-2542,02/26
ORD5371,Michael Lee,+1-246-2489,Houston,USA,STR780,Headphones,7.5,637.57,2022-05-16,3171-1990-9469-6950,01/26
ORD7634,Emily Brown,+1-418-8606,Los Angeles,USA,STR383,Laptop,2.63,73.14,2022-06-17,8641-6580-1901-5546,04/27
ORD327,Michael Lee,+1-940-9031,Chicago,USA,STR334,Tablet,5.85,327.41,2022-06-24,5265-9283-5101-2312,03/23
ORD7999,Alex Lee,+1-697-6450,Los Angeles,USA,STR914,Tablet,7.27,78.53,2022-07-27,5088-7057-3064-7716,06/22
ORD5318,Alex Brown,+1-315-1334,New York,USA,STR134,Laptop,7.35,397.83,2022-10-06,4802-4895-4252-9715,03/23
ORD1922,John Lee,+1-641-9913,Los Angeles,USA,STR357,Laptop,4.52,947.44,2022-07-03,5634-6075-4286-6244,07/23
ORD2712,John Doe,+1-340-6069,Houston,USA,STR673,Tablet,6.39,492.03,2022-10-14,3999-9356-1752-1653,06/28
ORD1516,Michael Johnson,+1-416-2419,Houston,USA,STR570,Tablet,8.05,875.44,2022-10-13,6111-8980-7349-7512,11/22
ORD7519,Alex Lee,+1-743-5206,Chicago,USA,STR788,Laptop,7.12,332.39,2022-03-09,3243-9778-5126-4853,06/23
ORD3524,John Doe,+1-748-7752,New York,USA,STR234,Tablet,6.5,450.47,2022-01-01,4206-2082-2024-7441,01/26
ORD1415,John Smith,+1-973-8366,New York,USA,STR383,Smartphone,5.08,894.21,2022-05-24,7497-3250-7499-7085,01/25
ORD5359,John Johnson,+1-863-2588,Chicago,USA,STR776,Smartphone,3.54,229.34,2022-05-26,6350-8315-7394-5425,02/28
